id,colour,size,width,brand,model,price,type,count,rating,no_rating,link
211277,Black,Medium,138 mm,Vincent Chase Polarized,VC S11164-M,2000,sunglasses,3735,0.0,0,https://www.lenskart.com/vincent-chase-vc-s11164--w-c1-sunglasses.html
137999,Black,Medium,132 mm,Vincent Chase,VC E13045,1700,eyeframe,21525,4.65,154,https://www.lenskart.com/matte-blue-black-full-rim-square-vincent-chase-steel-escobar-vc-e13045-c2-eyeglasses.html
215334,Black,Medium,137 mm,John Jacobs,JJ S16632,5000,sunglasses,1119,0.0,0,https://www.lenskart.com/john-jacobs-jj-s16632-c2-sunglasses.html
207782,Blue,Narrow,130 mm,Vincent Chase,VC E11259,1700,eyeframe,12345,4.45,532,https://www.lenskart.com/vincent-chase-vc-e11259-c8-eyeglasses.html
150588,Grey,Medium,135 mm,Lenskart Air,LA E14364,1700,eyeframe,22995,4.65,39,https://www.lenskart.com/lenskart-air-la-e14364-c2-eyeglasses.html
209758,Black,Wide,138 mm,Lenskart Air,LA E15847,1700,eyeframe,8301,4.65,3,https://www.lenskart.com/lenskart-air-la-e15847-c1-eyeglasses.html
215401,Tortoise,Medium,136 mm,Lenskart Air,LA E16639,1700,eyeframe,2788,0.0,0,https://www.lenskart.com/lenskart-air-la-e16639-c1-eyeglasses.html
137392,Blue,Medium,136 mm,Vincent Chase,VC 5881,1700,eyeframe,32254,4.3,360,https://www.lenskart.com/vincent-chase-vc-5881-c8-eyeglasses.html
150850,Black,Wide,141 mm,John Jacobs,JJ E14408,3500,eyeframe,18761,4.75,9,https://www.lenskart.com/john-jacobs-jj-e14408-c2-eyeglasses.html
149847,Blue,5-8 yrs,121 mm,Hooper,HP E10004,1000,eyeframe,18887,4.65,32,https://www.lenskart.com/hooper-hp-e10004-c3-eyeglasses.html
215386,Tortoise,Medium,136 mm,Vincent Chase,VC E16664,1700,eyeframe,1537,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16664-c2-eyeglasses.html
215971,Black,Wide,143 mm,Vincent Chase Polarized,VC S16750,2000,sunglasses,1622,0.0,0,https://www.lenskart.com/vincent-chase-vc-s16750-c1-sunglasses.html
150806,Gold,Medium,136 mm,Lenskart Air,LA E14401,3000,eyeframe,13300,4.85,8,https://www.lenskart.com/lenskart-air-la-e14401-c1-eyeglasses.html
217131,Black,Extra Wide,148 mm,John Jacobs,JJ S16952,5000,sunglasses,1192,0.0,0,https://www.lenskart.com/john-jacobs-jj-s16952-c1-sunglasses.html
138363,Gunmetal,Medium,136 mm,Vincent Chase,VC E13111,1700,eyeframe,33998,4.6,99,https://www.lenskart.com/vincent-chase-vc-e13111-c2-eyeglasses.html
136120,Gold,Wide,140 mm,John Jacobs,JJ E12743,5000,eyeframe,9842,4.7,40,https://www.lenskart.com/golden-black-half-rim-aviator-large-size-56-john-jacobs-pro-titanium-jj-e12743-c2-eyeglasses.html
148355,Black,Wide,140 mm,Lenskart Air,LA E10592-L,1700,eyeframe,26920,4.45,31,https://www.lenskart.com/lenskart-air-la-e-10592-l-c1-eyeglasses.html
213373,Green,Extra Wide,142 mm,Lenskart Air,LA E16573,1700,eyeframe,1066,0.0,0,https://www.lenskart.com/lenskart-air-la-e16573-c2-eyeglasses.html
206773,Brown,Medium,140 mm,Vincent Chase Polarized,VC S15407,2000,sunglasses,6433,5.0,1,https://www.lenskart.com/vincent-chase-vc-s15407-c2-sunglasses.html
153141,,,,Aquacolor,Aquacolor Premium Emerald Powered Monthly,299,contact_lens,12254,5.0,2,https://www.lenskart.com/aquacolor-premium-emerald-color-contact-lenses-1-lens-box.html
215327,Grey,Extra Narrow,145 mm,Vincent Chase,VC E16613,1700,eyeframe,2521,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16613-c1-eyeglasses.html
211945,Brown,Medium,136 mm,Lenskart Air,LA E16240,1700,eyeframe,2325,0.0,0,https://www.lenskart.com/lenskart-air-la-e16240-c3-eyeglasses.html
201489,Copper,Narrow,131 mm,Vincent Chase,VC E13788,1700,eyeframe,3839,4.75,108,https://www.lenskart.com/vincent-chase-vc-e13788-c4-eyeglasses.html
207627,,,,Bausch & Lomb iConnect,Bausch & Lomb iConnect Daily Disposable,330,contact_lens,6115,5.0,1,https://www.lenskart.com/bausch-lomb-icont-daily-disposable-cl-10lp.html
215965,Grey,Wide,143 mm,Vincent Chase Polarized,VC S16748,2000,sunglasses,1533,0.0,0,https://www.lenskart.com/vincent-chase-vc-s16748-c1-sunglasses.html
215366,Black,Narrow,132 mm,Vincent Chase,VC E16651,1700,eyeframe,2061,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16651-c1-eyeglasses.html
147098,Gunmetal,Medium,136 mm,Lenskart Air,LA E13852,1700,eyeframe,19423,4.7,17,https://www.lenskart.com/lenskart-air-la-e13852-c2-eyeglasses.html
200235,Blue,Wide,140 mm,Lenskart Air,LA E14802,1700,eyeframe,9059,5.0,5,https://www.lenskart.com/lenskart-air-la-e14802-c3-eyeglasses.html
200737,Silver,Narrow,131 mm,Lenskart Air,LA E14864,1700,eyeframe,9422,5.0,7,https://www.lenskart.com/lenskart-air-la-e14864-c1-eyeglasses.html
215328,Blue,Extra Narrow,145 mm,Vincent Chase,VC E16613,1700,eyeframe,2347,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16613-c2-eyeglasses.html
134828,Gunmetal,Medium,136 mm,Vincent Chase,VC E12423,1700,eyeframe,63226,4.45,418,https://www.lenskart.com/gunmetal-black-full-rim-round-small-size-49-vincent-chase-online-steel-escobar-vc-e12423-c2-eyeglasses.html
137919,Brown,Narrow,130 mm,John Jacobs,JJ E13024,3500,eyeframe,16772,4.6,36,https://www.lenskart.com/john-jacobs-jj-e13024-c3-eyeglasses.html
211387,Transparent,Medium,137 mm,Lenskart Air,LA E16155,1700,eyeframe,3174,0.0,0,https://www.lenskart.com/lenskart-air-la-e16155-c1-eyeglasses.html
131651,Gold,Medium,136 mm,John Jacobs,JJ E11209,5000,eyeframe,14396,4.25,49,https://www.lenskart.com/john-jacobs-jj-e11209-half-rim-rectangle-c4-eyeglasses.html
148529,Gunmetal,Wide,139 mm,Vincent Chase,VC E14040,1700,eyeframe,26775,4.7,50,https://www.lenskart.com/vincent-chase-vc-e14040-c3-eyeglasses.html
215413,Grey,Narrow,133 mm,Lenskart Air,LA E16644,1700,eyeframe,2661,4.0,1,https://www.lenskart.com/lenskart-air-la-e16644-c2-eyeglasses.html
211601,Silver,Medium,137 mm,Lenskart Air,LA E16204,3000,eyeframe,2387,0.0,0,https://www.lenskart.com/lenskart-air-la-e16204-c1-eyeglasses.html
133685,Gold,Narrow,131 mm,John Jacobs,JJ E11318,5000,eyeframe,41353,4.5,108,https://www.lenskart.com/john-jacobs-jj-e11318-rectangle-c3-eyeglasses.html
212871,Blue,Medium,134 mm,Vincent Chase,VC E16457,1700,eyeframe,2305,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16457-c1-eyeglasses.html
216386,Blue,Wide,138 mm,Vincent Chase,VC E16784,1700,eyeframe,1037,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16784-c1-eyeglasses.html
